record_id,train_id,train_name,service_date,route_id,origin_station,destination_station,section_id,station_sequence,station_name,scheduled_departure,scheduled_arrival,scheduled_destination_arrival,actual_observation_time,actual_destination_arrival,latitude,longitude,current_speed_kmh,distance_remaining_km,current_delay_minutes,station_arrival_time,station_departure_time,weather_condition,track_condition,signal_aspect,historical_section_delay_minutes,scheduled_travel_time_min,historical_delay_minutes,station_dwell_time_min,route_section,observation_hour,day_of_week,progress_ratio,target_arrival_delay_minutes
OBS-000011,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KALYAN_MUMBAI,3,Kalyan,2026-01-01 05:15:00,2026-01-01 07:00:00,2026-01-01 07:35:00,2026-01-01 07:25:00,2026-01-01 07:41:48,19.212626,74.048862,63.9,21.21,11.3,2026-01-01 07:11:18,2026-01-01 07:13:18,clear,normal,YELLOW,7.6,140.0,7.6,2.0,PUNE_MUMBAI:KALYAN_MUMBAI,7,3,0.9285714285714286,6.8
OBS-000012,12000,Deccan Express,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KALYAN_MUMBAI,3,Kalyan,2026-01-01 05:15:00,2026-01-01 07:00:00,2026-01-01 07:35:00,2026-01-01 07:40:00,2026-01-01 07:41:48,19.231517,74.074427,71.3,1.0,8.7,2026-01-01 07:08:42,2026-01-01 07:10:42,clear,wet,GREEN,7.6,140.0,7.6,2.0,PUNE_MUMBAI:KALYAN_MUMBAI,7,3,1.0,6.8
OBS-000013,12001,Konark Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,MUMBAI_KALYAN,0,Mumbai,2026-01-01 07:22:00,2026-01-01 07:22:00,2026-01-01 09:57:00,2026-01-01 07:32:00,2026-01-01 10:03:00,18.38019,72.972802,70.7,173.22,-1.1,2026-01-01 07:20:54,2026-01-01 07:24:24,clear,wet,RED,0.0,155.0,0.0,3.5,MUMBAI_NASHIK:MUMBAI_KALYAN,7,3,0.06451612903225806,6.0
OBS-000014,12001,Konark Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,MUMBAI_KALYAN,0,Mumbai,2026-01-01 07:22:00,2026-01-01 07:22:00,2026-01-01 09:57:00,2026-01-01 07:47:00,2026-01-01 10:03:00,18.429248,73.021034,65.6,157.67,-1.4,2026-01-01 07:20:36,2026-01-01 07:20:36,clear,normal,DOUBLE_YELLOW,0.0,155.0,0.0,0.0,MUMBAI_NASHIK:MUMBAI_KALYAN,7,3,0.16129032258064516,6.0
OBS-000015,12001,Konark Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,MUMBAI_KALYAN,0,Mumbai,2026-01-01 07:22:00,2026-01-01 07:22:00,2026-01-01 09:57:00,2026-01-01 08:02:00,2026-01-01 10:03:00,18.42284,73.001572,61.0,144.33,1.9,2026-01-01 07:23:54,2026-01-01 07:23:54,cloudy,normal,GREEN,0.0,155.0,0.0,0.0,MUMBAI_NASHIK:MUMBAI_KALYAN,8,3,0.25806451612903225,6.0
OBS-000016,12001,Konark Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KALYAN_KASARA,1,Kalyan,2026-01-01 07:22:00,2026-01-01 08:04:00,2026-01-01 09:57:00,2026-01-01 08:14:00,2026-01-01 10:03:00,18.699823,73.329723,66.6,121.9,3.4,2026-01-01 08:07:24,2026-01-01 08:12:30,cloudy,normal,RED,0.0,155.0,0.0,5.1,MUMBAI_NASHIK:KALYAN_KASARA,8,3,0.33548387096774196,6.0
OBS-000017,12001,Konark Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KALYAN_KASARA,1,Kalyan,2026-01-01 07:22:00,2026-01-01 08:04:00,2026-01-01 09:57:00,2026-01-01 08:29:00,2026-01-01 10:03:00,18.666841,73.369094,75.4,101.58,2.2,2026-01-01 08:06:12,2026-01-01 08:08:12,rain,normal,GREEN,0.0,155.0,0.0,2.0,MUMBAI_NASHIK:KALYAN_KASARA,8,3,0.432258064516129,6.0
OBS-000018,12001,Konark Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KALYAN_KASARA,1,Kalyan,2026-01-01 07:22:00,2026-01-01 08:04:00,2026-01-01 09:57:00,2026-01-01 08:44:00,2026-01-01 10:03:00,18.66994,73.32321,57.0,95.0,-0.7,2026-01-01 08:03:18,2026-01-01 08:05:18,clear,wet,YELLOW,0.0,155.0,0.0,2.0,MUMBAI_NASHIK:KALYAN_KASARA,8,3,0.5290322580645161,6.0
OBS-000019,12001,Konark Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KASARA_NASHIK,2,Kasara,2026-01-01 07:22:00,2026-01-01 09:00:00,2026-01-01 09:57:00,2026-01-01 09:10:00,2026-01-01 10:03:00,18.944513,73.721186,49.7,60.72,5.9,2026-01-01 09:05:54,2026-01-01 09:11:12,cloudy,wet,RED,0.0,155.0,0.0,5.3,MUMBAI_NASHIK:KASARA_NASHIK,9,3,0.6967741935483871,6.0
OBS-000020,12001,Konark Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KASARA_NASHIK,2,Kasara,2026-01-01 07:22:00,2026-01-01 09:00:00,2026-01-01 09:57:00,2026-01-01 09:25:00,2026-01-01 10:03:00,18.978127,73.725855,47.9,49.04,3.9,2026-01-01 09:03:54,2026-01-01 09:05:54,clear,normal,GREEN,0.0,155.0,0.0,2.0,MUMBAI_NASHIK:KASARA_NASHIK,9,3,0.7935483870967742,6.0
OBS-000021,12001,Konark Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KASARA_NASHIK,2,Kasara,2026-01-01 07:22:00,2026-01-01 09:00:00,2026-01-01 09:57:00,2026-01-01 09:40:00,2026-01-01 10:03:00,18.989901,73.716644,58.9,29.73,5.8,2026-01-01 09:05:48,2026-01-01 09:07:48,cloudy,normal,YELLOW,0.0,155.0,0.0,2.0,MUMBAI_NASHIK:KASARA_NASHIK,9,3,0.8903225806451613,6.0
OBS-000022,12002,Shivneri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,PUNE_DAUND,0,Pune,2026-01-01 09:29:00,2026-01-01 09:29:00,2026-01-01 12:54:00,2026-01-01 09:39:00,2026-01-01 13:05:00,18.404654,72.985051,71.0,253.17,1.3,2026-01-01 09:30:18,2026-01-01 09:31:00,clear,normal,GREEN,3.6,205.0,3.6,0.7,PUNE_SOLAPUR:PUNE_DAUND,9,3,0.04878048780487805,11.0
OBS-000023,12002,Shivneri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,PUNE_DAUND,0,Pune,2026-01-01 09:29:00,2026-01-01 09:29:00,2026-01-01 12:54:00,2026-01-01 09:54:00,2026-01-01 13:05:00,18.40638,73.016084,62.6,238.92,0.3,2026-01-01 09:29:18,2026-01-01 09:29:18,clear,normal,DOUBLE_YELLOW,3.6,205.0,3.6,0.0,PUNE_SOLAPUR:PUNE_DAUND,9,3,0.12195121951219512,11.0
OBS-000024,12002,Shivneri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,PUNE_DAUND,0,Pune,2026-01-01 09:29:00,2026-01-01 09:29:00,2026-01-01 12:54:00,2026-01-01 10:09:00,2026-01-01 13:05:00,18.412766,72.996752,70.5,218.0,2.4,2026-01-01 09:31:24,2026-01-01 09:31:24,rain,normal,YELLOW,3.6,205.0,3.6,0.0,PUNE_SOLAPUR:PUNE_DAUND,10,3,0.1951219512195122,11.0
OBS-000025,12002,Shivneri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,DAUND_KURDUVADI,1,Daund,2026-01-01 09:29:00,2026-01-01 10:24:00,2026-01-01 12:54:00,2026-01-01 10:34:00,2026-01-01 13:05:00,18.686383,73.352582,76.0,177.33,5.2,2026-01-01 10:29:12,2026-01-01 10:34:18,clear,normal,DOUBLE_YELLOW,3.6,205.0,3.6,5.1,PUNE_SOLAPUR:DAUND_KURDUVADI,10,3,0.3170731707317073,11.0
OBS-000026,12002,Shivneri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,DAUND_KURDUVADI,1,Daund,2026-01-01 09:29:00,2026-01-01 10:24:00,2026-01-01 12:54:00,2026-01-01 10:49:00,2026-01-01 13:05:00,18.65466,73.347638,74.2,163.21,1.1,2026-01-01 10:25:06,2026-01-01 10:27:06,cloudy,wet,GREEN,3.6,205.0,3.6,2.0,PUNE_SOLAPUR:DAUND_KURDUVADI,10,3,0.3902439024390244,11.0
OBS-000027,12002,Shivneri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,DAUND_KURDUVADI,1,Daund,2026-01-01 09:29:00,2026-01-01 10:24:00,2026-01-01 12:54:00,2026-01-01 11:04:00,2026-01-01 13:05:00,18.699835,73.358547,65.8,146.13,2.6,2026-01-01 10:26:36,2026-01-01 10:28:36,rain,normal,YELLOW,3.6,205.0,3.6,2.0,PUNE_SOLAPUR:DAUND_KURDUVADI,11,3,0.4634146341463415,11.0
OBS-000028,12002,Shivneri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,KURDUVADI_SOLAPUR,2,Kurduvadi,2026-01-01 09:29:00,2026-01-01 11:44:00,2026-01-01 12:54:00,2026-01-01 11:54:00,2026-01-01 13:05:00,18.968853,73.684568,64.3,74.28,7.2,2026-01-01 11:51:12,2026-01-01 11:56:12,rain,wet,GREEN,3.6,205.0,3.6,5.0,PUNE_SOLAPUR:KURDUVADI_SOLAPUR,11,3,0.7073170731707317,11.0
OBS-000029,12002,Shivneri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,KURDUVADI_SOLAPUR,2,Kurduvadi,2026-01-01 09:29:00,2026-01-01 11:44:00,2026-01-01 12:54:00,2026-01-01 12:09:00,2026-01-01 13:05:00,18.956589,73.708615,81.6,51.0,9.6,2026-01-01 11:53:36,2026-01-01 11:55:36,clear,normal,GREEN,3.6,205.0,3.6,2.0,PUNE_SOLAPUR:KURDUVADI_SOLAPUR,12,3,0.7804878048780488,11.0
OBS-000030,12002,Shivneri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,KURDUVADI_SOLAPUR,2,Kurduvadi,2026-01-01 09:29:00,2026-01-01 11:44:00,2026-01-01 12:54:00,2026-01-01 12:24:00,2026-01-01 13:05:00,18.984849,73.718418,70.8,37.8,8.9,2026-01-01 11:52:54,2026-01-01 11:54:54,cloudy,normal,YELLOW,3.6,205.0,3.6,2.0,PUNE_SOLAPUR:KURDUVADI_SOLAPUR,12,3,0.8536585365853658,11.0
OBS-000031,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,PUNE_LONAVALA,0,Pune,2026-01-01 11:36:00,2026-01-01 11:36:00,2026-01-01 13:56:00,2026-01-01 11:46:00,2026-01-01 13:56:24,18.4272,72.988946,54.3,182.95,-1.3,2026-01-01 11:34:42,2026-01-01 11:35:30,clear,normal,GREEN,0.9,140.0,0.9,0.8,PUNE_MUMBAI:PUNE_LONAVALA,11,3,0.07142857142857142,0.4
OBS-000032,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,PUNE_LONAVALA,0,Pune,2026-01-01 11:36:00,2026-01-01 11:36:00,2026-01-01 13:56:00,2026-01-01 12:01:00,2026-01-01 13:56:24,18.378243,72.987778,65.9,164.54,0.0,2026-01-01 11:36:00,2026-01-01 11:36:00,clear,normal,YELLOW,0.9,140.0,0.9,0.0,PUNE_MUMBAI:PUNE_LONAVALA,12,3,0.17857142857142858,0.4
OBS-000033,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,PUNE_LONAVALA,0,Pune,2026-01-01 11:36:00,2026-01-01 11:36:00,2026-01-01 13:56:00,2026-01-01 12:16:00,2026-01-01 13:56:24,18.385857,72.984104,59.0,152.67,0.9,2026-01-01 11:36:54,2026-01-01 11:36:54,rain,wet,RED,0.9,140.0,0.9,0.0,PUNE_MUMBAI:PUNE_LONAVALA,12,3,0.2857142857142857,0.4
OBS-000034,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,LONAVALA_KARJAT,1,Lonavala,2026-01-01 11:36:00,2026-01-01 12:11:00,2026-01-01 13:56:00,2026-01-01 12:21:00,2026-01-01 13:56:24,18.70317,73.363449,56.4,118.6,3.1,2026-01-01 12:14:06,2026-01-01 12:18:54,cloudy,normal,DOUBLE_YELLOW,0.9,140.0,0.9,4.8,PUNE_MUMBAI:LONAVALA_KARJAT,12,3,0.32142857142857145,0.4
OBS-000035,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,LONAVALA_KARJAT,1,Lonavala,2026-01-01 11:36:00,2026-01-01 12:11:00,2026-01-01 13:56:00,2026-01-01 12:36:00,2026-01-01 13:56:24,18.699794,73.371139,70.2,98.75,3.4,2026-01-01 12:14:24,2026-01-01 12:16:24,clear,normal,DOUBLE_YELLOW,0.9,140.0,0.9,2.0,PUNE_MUMBAI:LONAVALA_KARJAT,12,3,0.42857142857142855,0.4
OBS-000036,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,LONAVALA_KARJAT,1,Lonavala,2026-01-01 11:36:00,2026-01-01 12:11:00,2026-01-01 13:56:00,2026-01-01 12:51:00,2026-01-01 13:56:24,18.702562,73.350182,72.0,80.0,-2.3,2026-01-01 12:08:42,2026-01-01 12:10:42,clear,normal,YELLOW,0.9,140.0,0.9,2.0,PUNE_MUMBAI:LONAVALA_KARJAT,12,3,0.5357142857142857,0.4
OBS-000037,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KARJAT_KALYAN,2,Karjat,2026-01-01 11:36:00,2026-01-01 12:46:00,2026-01-01 13:56:00,2026-01-01 12:56:00,2026-01-01 13:56:24,18.964436,73.670262,70.3,75.28,-1.3,2026-01-01 12:44:42,2026-01-01 12:48:36,clear,wet,YELLOW,0.9,140.0,0.9,3.9,PUNE_MUMBAI:KARJAT_KALYAN,12,3,0.5714285714285714,0.4
OBS-000038,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KARJAT_KALYAN,2,Karjat,2026-01-01 11:36:00,2026-01-01 12:46:00,2026-01-01 13:56:00,2026-01-01 13:11:00,2026-01-01 13:56:24,18.937879,73.675093,69.9,57.88,0.0,2026-01-01 12:46:00,2026-01-01 12:48:00,clear,wet,YELLOW,0.9,140.0,0.9,2.0,PUNE_MUMBAI:KARJAT_KALYAN,13,3,0.6785714285714286,0.4
OBS-000039,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KARJAT_KALYAN,2,Karjat,2026-01-01 11:36:00,2026-01-01 12:46:00,2026-01-01 13:56:00,2026-01-01 13:26:00,2026-01-01 13:56:24,18.978204,73.727751,74.0,37.67,0.3,2026-01-01 12:46:18,2026-01-01 12:48:18,clear,normal,DOUBLE_YELLOW,0.9,140.0,0.9,2.0,PUNE_MUMBAI:KARJAT_KALYAN,13,3,0.7857142857142857,0.4
OBS-000040,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KALYAN_MUMBAI,3,Kalyan,2026-01-01 11:36:00,2026-01-01 13:21:00,2026-01-01 13:56:00,2026-01-01 13:31:00,2026-01-01 13:56:24,19.268193,74.048279,75.5,34.42,1.3,2026-01-01 13:22:18,2026-01-01 13:26:30,rain,wet,GREEN,0.9,140.0,0.9,4.2,PUNE_MUMBAI:KALYAN_MUMBAI,13,3,0.8214285714285714,0.4
OBS-000042,12003,Mumbai Rajdhani,2026-01-01,PUNE_MUMBAI,Pune,Mumbai,KALYAN_MUMBAI,3,Kalyan,2026-01-01 11:36:00,2026-01-01 13:21:00,2026-01-01 13:56:00,2026-01-01 14:01:00,2026-01-01 13:56:24,19.234013,74.056301,73.0,1.0,-0.1,2026-01-01 13:20:54,2026-01-01 13:22:54,rain,normal,DOUBLE_YELLOW,0.9,140.0,0.9,2.0,PUNE_MUMBAI:KALYAN_MUMBAI,14,3,1.0,0.4
OBS-000043,12004,Solapur Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,MUMBAI_KALYAN,0,Mumbai,2026-01-01 13:43:00,2026-01-01 13:43:00,2026-01-01 16:18:00,2026-01-01 13:53:00,2026-01-01 16:27:24,18.379582,73.002085,52.3,176.28,-0.3,2026-01-01 13:42:42,2026-01-01 13:45:12,rain,normal,DOUBLE_YELLOW,11.2,155.0,11.2,2.5,MUMBAI_NASHIK:MUMBAI_KALYAN,13,3,0.06451612903225806,9.4
OBS-000044,12004,Solapur Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,MUMBAI_KALYAN,0,Mumbai,2026-01-01 13:43:00,2026-01-01 13:43:00,2026-01-01 16:18:00,2026-01-01 14:08:00,2026-01-01 16:27:24,18.400694,73.010344,81.0,151.25,-0.3,2026-01-01 13:42:42,2026-01-01 13:42:42,rain,normal,DOUBLE_YELLOW,11.2,155.0,11.2,0.0,MUMBAI_NASHIK:MUMBAI_KALYAN,14,3,0.16129032258064516,9.4
OBS-000045,12004,Solapur Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,MUMBAI_KALYAN,0,Mumbai,2026-01-01 13:43:00,2026-01-01 13:43:00,2026-01-01 16:18:00,2026-01-01 14:23:00,2026-01-01 16:27:24,18.410948,72.978104,62.7,143.2,0.8,2026-01-01 13:43:48,2026-01-01 13:43:48,clear,normal,GREEN,11.2,155.0,11.2,0.0,MUMBAI_NASHIK:MUMBAI_KALYAN,14,3,0.25806451612903225,9.4
OBS-000046,12004,Solapur Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KALYAN_KASARA,1,Kalyan,2026-01-01 13:43:00,2026-01-01 14:25:00,2026-01-01 16:18:00,2026-01-01 14:35:00,2026-01-01 16:27:24,18.676312,73.351436,44.5,125.58,3.7,2026-01-01 14:28:42,2026-01-01 14:33:36,rain,wet,GREEN,11.2,155.0,11.2,4.9,MUMBAI_NASHIK:KALYAN_KASARA,14,3,0.33548387096774196,9.4
OBS-000047,12004,Solapur Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KALYAN_KASARA,1,Kalyan,2026-01-01 13:43:00,2026-01-01 14:25:00,2026-01-01 16:18:00,2026-01-01 14:50:00,2026-01-01 16:27:24,18.684836,73.343224,65.3,105.79,4.4,2026-01-01 14:29:24,2026-01-01 14:31:24,clear,wet,RED,11.2,155.0,11.2,2.0,MUMBAI_NASHIK:KALYAN_KASARA,14,3,0.432258064516129,9.4
OBS-000048,12004,Solapur Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KALYAN_KASARA,1,Kalyan,2026-01-01 13:43:00,2026-01-01 14:25:00,2026-01-01 16:18:00,2026-01-01 15:05:00,2026-01-01 16:27:24,18.671178,73.354896,65.0,89.67,-0.2,2026-01-01 14:24:48,2026-01-01 14:26:48,clear,wet,YELLOW,11.2,155.0,11.2,2.0,MUMBAI_NASHIK:KALYAN_KASARA,15,3,0.5290322580645161,9.4
OBS-000049,12004,Solapur Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KASARA_NASHIK,2,Kasara,2026-01-01 13:43:00,2026-01-01 15:21:00,2026-01-01 16:18:00,2026-01-01 15:31:00,2026-01-01 16:27:24,18.987513,73.682483,76.7,56.22,7.1,2026-01-01 15:28:06,2026-01-01 15:33:12,clear,normal,RED,11.2,155.0,11.2,5.1,MUMBAI_NASHIK:KASARA_NASHIK,15,3,0.6967741935483871,9.4
OBS-000050,12004,Solapur Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KASARA_NASHIK,2,Kasara,2026-01-01 13:43:00,2026-01-01 15:21:00,2026-01-01 16:18:00,2026-01-01 15:46:00,2026-01-01 16:27:24,18.94583,73.702972,51.6,47.5,9.9,2026-01-01 15:30:54,2026-01-01 15:32:54,clear,normal,RED,11.2,155.0,11.2,2.0,MUMBAI_NASHIK:KASARA_NASHIK,15,3,0.7935483870967742,9.4
OBS-000051,12004,Solapur Express,2026-01-01,MUMBAI_NASHIK,Mumbai,Nashik,KASARA_NASHIK,2,Kasara,2026-01-01 13:43:00,2026-01-01 15:21:00,2026-01-01 16:18:00,2026-01-01 16:01:00,2026-01-01 16:27:24,18.974554,73.707219,65.9,25.07,7.6,2026-01-01 15:28:36,2026-01-01 15:30:36,rain,normal,RED,11.2,155.0,11.2,2.0,MUMBAI_NASHIK:KASARA_NASHIK,16,3,0.8903225806451613,9.4
OBS-000052,12005,Sahyadri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,PUNE_DAUND,0,Pune,2026-01-01 15:20:00,2026-01-01 15:20:00,2026-01-01 18:45:00,2026-01-01 15:30:00,2026-01-01 18:43:00,18.398704,72.971004,63.3,254.45,1.4,2026-01-01 15:21:24,2026-01-01 15:23:12,clear,wet,RED,3.5,205.0,3.5,1.8,PUNE_SOLAPUR:PUNE_DAUND,15,3,0.04878048780487805,-2.0
OBS-000053,12005,Sahyadri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,PUNE_DAUND,0,Pune,2026-01-01 15:20:00,2026-01-01 15:20:00,2026-01-01 18:45:00,2026-01-01 15:45:00,2026-01-01 18:43:00,18.377565,72.97051,78.3,232.38,2.3,2026-01-01 15:22:18,2026-01-01 15:22:18,clear,wet,GREEN,3.5,205.0,3.5,0.0,PUNE_SOLAPUR:PUNE_DAUND,15,3,0.12195121951219512,-2.0
OBS-000054,12005,Sahyadri Express,2026-01-01,PUNE_SOLAPUR,Pune,Solapur,PUNE_DAUND,0,Pune,2026-01-01 15:20:00,2026-01-01 15:20:00,2026-01-01 18:45:00,2026-01-01 16:00:00,2026-01-01 18:43:00,18.421948,73.020153,81.0,211.0,-2.0,2026-01-01 15:18:00,2026-01-01 15:18:00,clear,normal,RED,3.5,205.0,3.5,0.0,PUNE_SOLAPUR:PUNE_DAUND,16,3,0.1951219512195122,-2.0
