station_sequence,current_speed_kmh,distance_remaining_km,current_delay_minutes,scheduled_travel_time_min,historical_delay_minutes,station_dwell_time_min,progress_ratio,observation_hour,day_of_week,target_arrival_delay_minutes,service_date,train_id_12000,train_id_12001,train_id_12002,train_id_12003,train_id_12004,train_id_12005,route_id_MUMBAI_NASHIK,route_id_PUNE_MUMBAI,route_id_PUNE_SOLAPUR,section_id_DAUND_KURDUVADI,section_id_KALYAN_KASARA,section_id_KALYAN_MUMBAI,section_id_KARJAT_KALYAN,section_id_KASARA_NASHIK,section_id_KURDUVADI_SOLAPUR,section_id_LONAVALA_KARJAT,section_id_MUMBAI_KALYAN,section_id_PUNE_DAUND,section_id_PUNE_LONAVALA,route_section_MUMBAI_NASHIK:KALYAN_KASARA,route_section_MUMBAI_NASHIK:KASARA_NASHIK,route_section_MUMBAI_NASHIK:MUMBAI_KALYAN,route_section_PUNE_MUMBAI:KALYAN_MUMBAI,route_section_PUNE_MUMBAI:KARJAT_KALYAN,route_section_PUNE_MUMBAI:LONAVALA_KARJAT,route_section_PUNE_MUMBAI:PUNE_LONAVALA,route_section_PUNE_SOLAPUR:DAUND_KURDUVADI,route_section_PUNE_SOLAPUR:KURDUVADI_SOLAPUR,route_section_PUNE_SOLAPUR:PUNE_DAUND,weather_condition_clear,weather_condition_cloudy,weather_condition_rain,track_condition_normal,track_condition_wet,signal_aspect_DOUBLE_YELLOW,signal_aspect_GREEN,signal_aspect_RED,signal_aspect_YELLOW
0,52.3,176.28,-0.3,155.0,11.2,2.5,0.06451612903225806,13,3,9.4,2026-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
0,81.0,151.25,-0.3,155.0,11.2,0.0,0.16129032258064516,14,3,9.4,2026-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1,44.5,125.58,3.7,155.0,11.2,4.9,0.33548387096774196,14,3,9.4,2026-01-01,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0,65.9,164.54,0.0,140.0,0.9,0.0,0.17857142857142858,12,3,0.4,2026-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,65.3,105.79,4.4,155.0,11.2,2.0,0.432258064516129,14,3,9.4,2026-01-01,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2,76.7,56.22,7.1,155.0,11.2,5.1,0.6967741935483871,15,3,9.4,2026-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2,51.6,47.5,9.9,155.0,11.2,2.0,0.7935483870967742,15,3,9.4,2026-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2,65.9,25.07,7.6,155.0,11.2,2.0,0.8903225806451613,16,3,9.4,2026-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
0,63.3,254.45,1.4,205.0,3.5,1.8,0.04878048780487805,15,3,-2.0,2026-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
0,78.3,232.38,2.3,205.0,3.5,0.0,0.12195121951219512,15,3,-2.0,2026-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
0,81.0,211.0,-2.0,205.0,3.5,0.0,0.1951219512195122,16,3,-2.0,2026-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,74.6,177.57,-1.4,205.0,3.5,5.4,0.3170731707317073,16,3,-2.0,2026-01-01,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
1,65.0,153.25,0.4,205.0,3.5,2.0,0.3902439024390244,16,3,-2.0,2026-01-01,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,80.0,136.67,-3.0,205.0,3.5,2.0,0.4634146341463415,16,3,-2.0,2026-01-01,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
2,73.1,72.82,0.2,205.0,3.5,4.3,0.7073170731707317,17,3,-2.0,2026-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
2,76.0,53.33,-0.7,205.0,3.5,2.0,0.7804878048780488,18,3,-2.0,2026-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
2,57.2,46.87,-2.3,205.0,3.5,2.0,0.8536585365853658,18,3,-2.0,2026-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,65.0,89.67,-0.2,155.0,11.2,2.0,0.5290322580645161,15,3,9.4,2026-01-01,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,54.3,182.95,-1.3,140.0,0.9,0.8,0.07142857142857142,11,3,0.4,2026-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,62.7,143.2,0.8,155.0,11.2,0.0,0.25806451612903225,14,3,9.4,2026-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,81.6,51.0,9.6,205.0,3.6,2.0,0.7804878048780488,12,3,11.0,2026-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
2,70.8,37.8,8.9,205.0,3.6,2.0,0.8536585365853658,12,3,11.0,2026-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
0,73.1,143.27,2.8,140.0,7.6,0.0,0.2857142857142857,5,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,57.9,118.35,3.1,140.0,7.6,4.8,0.32142857142857145,6,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,46.9,108.46,2.9,140.0,7.6,2.0,0.42857142857142855,6,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
1,55.5,91.0,5.0,140.0,7.6,2.0,0.5357142857142857,6,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
2,48.0,79.0,6.3,140.0,7.6,4.0,0.5714285714285714,6,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2,62.1,61.12,3.4,140.0,7.6,2.0,0.6785714285714286,6,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,65.3,43.47,3.3,140.0,7.6,2.0,0.7857142857142857,7,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
3,72.6,34.9,6.1,140.0,7.6,5.8,0.8214285714285714,7,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,63.9,21.21,11.3,140.0,7.6,2.0,0.9285714285714286,7,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3,71.3,1.0,8.7,140.0,7.6,2.0,1.0,7,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0,70.7,173.22,-1.1,155.0,0.0,3.5,0.06451612903225806,7,3,6.0,2026-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0,65.6,157.67,-1.4,155.0,0.0,0.0,0.16129032258064516,7,3,6.0,2026-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,61.0,144.33,1.9,155.0,0.0,0.0,0.25806451612903225,8,3,6.0,2026-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,69.5,163.04,1.2,140.0,7.6,0.0,0.17857142857142858,5,3,6.8,2026-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
1,76.0,177.33,5.2,205.0,3.6,5.1,0.3170731707317073,10,3,11.0,2026-01-01,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,75.4,101.58,2.2,155.0,0.0,2.0,0.432258064516129,8,3,6.0,2026-01-01,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1,57.0,95.0,-0.7,155.0,0.0,2.0,0.5290322580645161,8,3,6.0,2026-01-01,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2,49.7,60.72,5.9,155.0,0.0,5.3,0.6967741935483871,9,3,6.0,2026-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2,47.9,49.04,3.9,155.0,0.0,2.0,0.7935483870967742,9,3,6.0,2026-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,58.9,29.73,5.8,155.0,0.0,2.0,0.8903225806451613,9,3,6.0,2026-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,71.0,253.17,1.3,205.0,3.6,0.7,0.04878048780487805,9,3,11.0,2026-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
0,62.6,238.92,0.3,205.0,3.6,0.0,0.12195121951219512,9,3,11.0,2026-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
0,70.5,218.0,2.4,205.0,3.6,0.0,0.1951219512195122,10,3,11.0,2026-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
1,66.6,121.9,3.4,155.0,0.0,5.1,0.33548387096774196,8,3,6.0,2026-01-01,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,74.2,163.21,1.1,205.0,3.6,2.0,0.3902439024390244,10,3,11.0,2026-01-01,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
1,65.8,146.13,2.6,205.0,3.6,2.0,0.4634146341463415,11,3,11.0,2026-01-01,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
2,64.3,74.28,7.2,205.0,3.6,5.0,0.7073170731707317,11,3,11.0,2026-01-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
3,58.5,37.25,10.9,140.0,8.5,3.3,0.8214285714285714,14,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
3,72.2,16.92,12.0,140.0,8.5,2.0,0.9285714285714286,14,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,54.3,169.38,0.8,140.0,8.5,0.0,0.17857142857142858,13,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
0,64.1,174.32,-1.1,155.0,3.3,2.5,0.06451612903225806,14,4,5.8,2026-01-02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3,54.6,10.6,21.4,140.0,8.5,2.0,1.0,15,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,57.9,48.4,10.8,140.0,8.5,2.0,0.7857142857142857,14,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,72.4,143.73,1.3,140.0,8.5,0.0,0.2857142857142857,13,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
2,57.0,77.5,11.6,140.0,8.5,3.5,0.5714285714285714,13,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,63.0,86.0,6.8,140.0,8.5,2.0,0.5357142857142857,13,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
1,64.9,100.96,3.6,140.0,8.5,2.0,0.42857142857142855,13,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
1,61.5,117.75,1.4,140.0,8.5,5.5,0.32142857142857145,13,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
0,72.9,154.62,0.9,155.0,3.3,0.0,0.16129032258064516,15,4,5.8,2026-01-02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2,60.0,62.0,7.7,140.0,8.5,2.0,0.6785714285714286,14,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,56.1,123.65,5.3,155.0,3.3,5.4,0.33548387096774196,15,4,5.8,2026-01-02,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,59.1,240.38,0.9,205.0,8.4,0.0,0.12195121951219512,16,4,12.2,2026-01-02,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,66.1,88.93,3.4,155.0,3.3,2.0,0.5290322580645161,16,4,5.8,2026-01-02,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2,61.7,58.72,3.3,155.0,3.3,5.2,0.6967741935483871,16,4,5.8,2026-01-02,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2,41.9,51.54,8.7,155.0,3.3,2.0,0.7935483870967742,16,4,5.8,2026-01-02,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2,63.4,26.73,3.9,155.0,3.3,2.0,0.8903225806451613,17,4,5.8,2026-01-02,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,65.7,254.05,0.9,205.0,8.4,3.3,0.04878048780487805,16,4,12.2,2026-01-02,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
0,52.5,230.0,2.3,205.0,8.4,0.0,0.1951219512195122,17,4,12.2,2026-01-02,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,68.9,178.52,4.3,205.0,8.4,5.8,0.3170731707317073,17,4,12.2,2026-01-02,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
1,76.4,158.17,3.4,205.0,8.4,2.0,0.3902439024390244,17,4,12.2,2026-01-02,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1,84.1,133.93,5.1,205.0,8.4,2.0,0.4634146341463415,17,4,12.2,2026-01-02,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
2,63.4,74.43,12.0,205.0,8.4,3.7,0.7073170731707317,18,4,12.2,2026-01-02,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
2,58.1,60.79,11.7,205.0,8.4,2.0,0.7804878048780488,19,4,12.2,2026-01-02,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
2,53.4,49.4,11.4,205.0,8.4,2.0,0.8536585365853658,19,4,12.2,2026-01-02,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
1,72.8,102.67,2.0,155.0,3.3,2.0,0.432258064516129,15,4,5.8,2026-01-02,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,82.1,178.32,-0.8,140.0,8.5,3.8,0.07142857142857142,12,4,14.0,2026-01-02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,68.6,139.27,1.1,155.0,3.3,0.0,0.25806451612903225,15,4,5.8,2026-01-02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,56.0,61.67,5.2,205.0,2.2,2.0,0.7804878048780488,13,4,4.8,2026-01-02,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
0,63.9,165.38,-2.5,140.0,4.5,0.0,0.17857142857142858,6,4,0.1,2026-01-02,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
0,70.6,144.93,1.2,140.0,4.5,0.0,0.2857142857142857,6,4,0.1,2026-01-02,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,71.5,116.08,0.3,140.0,4.5,5.2,0.32142857142857145,7,4,0.1,2026-01-02,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1,90.3,90.38,-0.6,140.0,4.5,2.0,0.42857142857142855,7,4,0.1,2026-01-02,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
1,77.9,76.07,-3.0,140.0,4.5,2.0,0.5357142857142857,7,4,0.1,2026-01-02,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
2,57.9,77.35,2.7,140.0,4.5,3.8,0.5714285714285714,7,4,0.1,2026-01-02,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2,61.5,61.38,4.7,140.0,4.5,2.0,0.6785714285714286,7,4,0.1,2026-01-02,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,89.2,27.53,-0.4,140.0,4.5,2.0,0.7857142857142857,8,4,0.1,2026-01-02,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3,85.4,32.77,-1.3,140.0,4.5,5.1,0.8214285714285714,8,4,0.1,2026-01-02,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
